City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kuta,-8.7233,115.1723,26.8,82,39,3.39,ID,1728860082
1,fale old settlement,-9.3852,-171.2468,27.97,77,67,5.71,TK,1728860083
2,waitangi,-43.9535,-176.5597,11.08,81,96,5.55,NZ,1728860084
3,adamstown,-25.066,-130.1015,20.97,81,100,7.24,PN,1728860085
4,iskateley,67.6803,53.1512,1.14,95,70,6.43,RU,1728860086
5,massawa,15.6097,39.45,30.48,73,1,1.44,ER,1728860088
6,vadso,70.0744,29.7487,6.09,81,40,6.17,NO,1728860089
7,port-aux-francais,-49.35,70.2167,3.73,92,93,10.16,TF,1728860090
8,puerto natales,-51.7236,-72.4875,11.25,54,40,13.38,CL,1728860091
9,la ronge,55.1001,-105.2842,9.14,57,75,4.12,CA,1728860092
10,yellowknife,62.456,-114.3525,10.23,77,75,8.75,CA,1728860093
11,iqaluit,63.7506,-68.5145,0.85,86,75,4.63,CA,1728860095
12,mount pearl,47.5166,-52.7813,9.52,84,75,8.23,CA,1728860096
13,barcelos,41.5388,-8.6151,17.46,86,90,1.91,PT,1728860097
14,ushuaia,-54.8,-68.3,7.81,76,75,7.2,AR,1728859969
15,olonkinbyen,70.9221,-8.7187,-1.24,91,100,8.75,SJ,1728860099
16,cidade velha,14.9167,-23.6167,26.26,89,20,1.03,CV,1728860100
17,charef,34.621,2.795,19.81,55,1,6.96,DZ,1728860102
18,enewetak,11.3474,162.3373,28.82,75,82,6.63,MH,1728860103
19,gadzhiyevo,69.2551,33.3362,3.88,85,100,6.26,RU,1728860104
20,lihue,21.9789,-159.3672,28.77,65,20,5.66,US,1728860105
21,port elizabeth,-33.918,25.5701,17.16,92,100,7.2,ZA,1728860107
22,grytviken,-54.2811,-36.5092,-1.0,80,34,4.64,GS,1728860108
23,saint-joseph,-21.3667,55.6167,21.21,70,33,5.33,RE,1728860109
24,fortuna,40.5982,-124.1573,19.08,84,0,4.63,US,1728860110
25,hermanus,-34.4187,19.2345,11.0,84,14,3.59,ZA,1728859829
26,georgetown,5.4112,100.3354,24.97,93,20,1.03,MY,1728860106
27,albany,42.6001,-73.9662,7.23,80,98,1.83,US,1728860079
28,blackmans bay,-43.0167,147.3167,11.96,62,26,0.45,AU,1728860115
29,stanley,54.868,-1.6985,5.01,85,0,1.03,GB,1728860116
30,lebu,-37.6167,-73.65,11.05,84,25,5.38,CL,1728860117
31,brookings,44.3114,-96.7984,12.0,43,0,8.75,US,1728859925
32,pisco,-13.7,-76.2167,20.03,68,0,7.2,PE,1728860120
33,lahaina,20.8783,-156.6825,30.0,75,6,3.93,US,1728860122
34,bredasdorp,-34.5322,20.0403,11.73,91,22,2.96,ZA,1728860123
35,talnakh,69.4865,88.3972,-0.49,97,100,8.68,RU,1728860124
36,mata-utu,-13.2816,-176.1745,27.36,82,99,7.96,WF,1728860125
37,west island,-12.1568,96.8225,25.99,89,40,6.69,CC,1728860126
38,hamilton,39.1834,-84.5333,22.1,51,1,7.15,US,1728859772
39,edinburgh of the seven seas,-37.0676,-12.3116,13.78,81,100,11.49,SH,1728860129
40,longyearbyen,78.2186,15.6401,1.91,75,75,7.72,SJ,1728860130
41,ilulissat,69.2167,-51.1,0.01,80,100,2.57,GL,1728860131
42,avarua,-21.2078,-159.775,25.03,69,75,7.72,CK,1728860132
43,padang,-0.9492,100.3543,24.34,89,100,1.79,ID,1728860133
44,masindi port,1.6961,32.0861,18.49,89,54,1.46,UG,1728860136
45,bethel,41.3712,-73.414,14.85,71,100,3.6,US,1728860137
46,douglas,41.3,-96.167,15.73,35,0,6.69,US,1728860014
47,bilibino,68.0546,166.4372,-6.67,75,100,0.67,RU,1728860139
48,inhambane,-23.865,35.3833,20.82,87,0,2.39,MZ,1728860140
49,klyuchi,52.2667,79.1667,-5.33,81,19,2.08,RU,1728860142
50,lauro de freitas,-12.8944,-38.3272,26.01,78,0,4.63,BR,1728860143
51,egilsstadir,65.2653,-14.3948,-2.05,80,100,3.09,IS,1728860144
52,lata,40.1629,-8.3327,15.4,89,28,1.87,PT,1728860145
53,zuni pueblo,35.0725,-108.8506,26.2,12,100,5.37,US,1728860148
54,vasteras,59.6162,16.5528,8.81,93,75,2.06,SE,1728860149
55,sitia,35.2,26.0986,21.87,75,74,6.66,GR,1728860150
56,port mathurin,-19.6833,63.4167,22.19,74,84,9.8,MU,1728860113
57,mokhsogollokh,61.4681,128.9203,-4.09,79,100,1.83,RU,1728860152
58,thompson,55.7435,-97.8558,2.09,60,75,2.06,CA,1728860153
59,thunder bay,48.4001,-89.3168,9.99,61,100,2.06,CA,1728860154
